N,estimate,variance,error
1,4,nan,0.85840734641020688
2,4,0.12314364340742155,0.85840734641020688
4,4,0.10049523885267102,0.85840734641020688
8,3,0.24785452414981138,0.14159265358979312
16,3.25,0.23969890904605476,0.10840734641020688
32,3.375,0.23077544777214723,0.23340734641020688
64,3.1875,0.2367044412550707,0.045907346410206884
128,3.21875,0.22360401444301153,0.077157346410206884
256,3.09375,0.21418876831868694,0.047842653589793116
512,3.140625,0.20478568522033661,0.000967653589793116
1024,3.0859375,0.19628406428722919,0.055655153589793116
2048,3.12109375,0.19088102551998479,0.020498903589793116
4096,3.103515625,0.18851661528266542,0.038077028589793116
8192,3.099609375,0.18629888878976464,0.041983278589793116
16384,3.13720703125,0.18386170585277795,0.004385622339793116
32768,3.13525390625,0.18151874682722755,0.006338747339793116
65536,3.143798828125,0.17977968154724883,0.002206174535206884
131072,3.1424560546875,0.17863914954792318,0.000863401097706884
262144,3.143463134765625,0.17829489156724965,0.001870481175831884
524288,3.1433258056640625,0.17803308104079613,0.001733152074269384
1048576,3.1423606872558594,0.17780437475945182,0.000768033666066259
2097152,3.1425514221191406,0.17769013243424861,0.000958768529347509
4194304,3.1423711776733398,0.177682512037701,0.00077852408354672775
8388608,3.142146110534668,0.17773778055632478,0.00055345694487485275
16777216,3.1419847011566162,0.17776016481965393,0.00039204756682309494
